,district,school,primary_job,fte,salary,certificate,subcategory,teaching_route,highly_qualified,experience_district,experience_nj,experience_total
28561,78,795,0,1.0,101252,5,2,1,5,17.0,17.0,17.0
28563,78,790,0,1.0,68372,5,2,1,5,4.0,4.0,4.0
28565,78,790,0,1.0,85273,5,2,1,5,15.0,15.0,15.0
28566,78,790,0,1.0,75125,5,2,1,5,14.0,14.0,14.0
28567,78,790,0,1.0,83213,5,2,1,5,15.0,15.0,15.0
28568,78,790,0,1.0,54368,5,4,1,5,4.0,4.0,4.0
28569,78,790,0,1.0,64481,5,4,1,5,11.0,11.0,11.0
28570,78,790,0,1.0,52125,5,2,1,5,9.0,9.0,9.0
28571,78,790,0,1.0,77261,5,2,1,5,15.0,15.0,15.0
28572,78,790,0,1.0,99421,5,2,1,5,20.0,20.0,20.0
28573,78,790,0,1.0,99421,5,2,1,5,18.0,18.0,18.0
28574,78,790,0,1.0,62366,5,2,1,5,11.0,11.0,11.0
28575,78,790,0,1.0,53182,5,2,1,5,2.0,2.0,2.0
28578,78,741,0,1.0,48777,4,2,1,5,0.0,0.0,0.0
28579,78,741,0,1.0,48777,4,4,1,5,0.0,0.0,0.0
28580,78,741,0,1.0,56199,5,2,1,5,5.0,5.0,5.0
28582,78,741,0,1.0,60306,5,4,1,5,0.0,0.0,0.0
28583,78,741,0,1.0,48987,4,4,0,5,1.0,2.0,2.0
28585,78,741,0,1.0,88931,5,2,1,5,17.0,17.0,17.0
28586,78,741,0,1.0,93052,5,2,1,5,16.0,16.0,16.0
28588,78,741,0,1.0,62366,5,2,1,5,11.0,11.0,11.0
28590,78,741,0,1.0,64481,5,2,1,5,13.0,13.0,13.0
28591,78,741,0,1.0,64481,5,2,1,5,11.0,11.0,11.0
28604,127,435,2,1.0,94311,5,2,1,0,10.0,32.0,32.0
28656,78,879,0,1.0,99421,5,2,1,5,15.0,15.0,15.0
28657,78,879,0,1.0,57303,5,2,1,5,9.0,9.0,9.0
28659,78,1445,0,1.0,99421,5,2,1,5,19.0,19.0,19.0
28661,78,1726,0,1.0,95300,5,2,1,5,6.0,6.0,6.0
28662,78,1726,0,1.0,97589,5,2,1,5,11.0,11.0,11.0
28663,78,1936,0,1.0,60360,5,2,1,5,13.0,13.0,13.0
28664,78,1936,0,1.0,96943,5,2,1,5,16.0,16.0,16.0
28737,93,377,4,1.0,68250,5,2,1,5,11.0,11.0,11.0
28742,78,1936,0,1.0,60360,5,2,1,5,11.0,11.0,11.0
28743,78,1936,0,1.0,88931,5,2,1,5,18.0,18.0,18.0
28744,78,1936,0,1.0,99421,5,2,1,5,22.0,22.0,22.0
28745,78,1936,0,1.0,68372,5,2,1,5,11.0,11.0,11.0
28746,78,1936,0,1.0,99421,5,2,1,5,18.0,18.0,18.0
28747,78,1936,0,1.0,77261,5,2,1,5,15.0,15.0,15.0
28748,78,1936,0,1.0,101252,5,2,1,5,22.0,22.0,22.0
28749,78,1936,0,1.0,73293,5,2,1,5,14.0,14.0,14.0
28751,78,1936,0,1.0,91220,5,2,1,5,17.0,17.0,17.0
28752,78,1936,0,1.0,95300,5,2,1,5,23.0,23.0,23.0
28753,78,1936,0,1.0,73293,5,2,1,5,14.0,14.0,14.0
28755,78,1936,0,1.0,103312,5,2,1,5,13.0,13.0,13.0
28756,78,1726,0,1.0,64481,5,2,1,5,12.0,12.0,12.0
28757,78,1726,0,1.0,48777,4,2,1,5,0.0,0.0,0.0
28759,78,1726,0,1.0,54368,5,2,1,5,5.0,5.0,5.0
28760,78,1726,0,1.0,95300,5,2,1,5,17.0,17.0,17.0
28761,78,1726,0,1.0,48777,4,2,1,5,0.0,0.0,0.0
28763,78,1726,0,1.0,96445,5,2,1,5,22.0,22.0,22.0
28764,78,1726,0,1.0,99421,5,2,1,5,25.0,25.0,25.0
28765,78,1726,0,1.0,77261,5,2,1,5,15.0,15.0,15.0
28767,78,1726,0,1.0,55329,5,2,1,5,8.0,8.0,8.0
28768,78,1726,0,1.0,95300,5,2,1,5,19.0,19.0,19.0
28769,78,1726,0,1.0,84459,5,2,1,5,16.0,16.0,16.0
28771,78,1726,0,1.0,99421,5,2,1,5,20.0,20.0,20.0
28773,78,1726,0,1.0,52125,5,4,1,5,8.0,8.0,8.0
28774,78,1726,0,1.0,67608,5,2,1,5,12.0,12.0,12.0
28775,78,1726,0,1.0,52125,5,2,1,5,8.0,8.0,8.0
28776,78,1726,0,1.0,81382,5,4,1,5,16.0,16.0,16.0
28777,78,1726,0,1.0,67608,5,2,1,5,13.0,13.0,13.0
28778,78,1726,0,1.0,53681,5,2,1,5,4.0,4.0,4.0
28779,78,1445,0,1.0,48777,5,4,1,5,1.0,1.0,1.0
28780,78,1445,0,1.0,52898,4,2,1,5,0.0,0.0,0.0
28782,78,1445,0,1.0,48987,5,2,1,5,2.0,2.0,2.0
28783,78,1445,0,1.0,54729,5,2,1,5,1.0,1.0,1.0
28784,78,1445,0,1.0,81382,5,2,1,5,9.0,9.0,9.0
28786,78,1445,0,1.0,94883,5,2,1,5,16.0,16.0,16.0
28787,78,1445,0,1.0,79016,5,2,1,5,14.0,14.0,14.0
28788,78,1445,0,1.0,96445,5,2,1,5,8.0,8.0,8.0
28789,78,1445,0,1.0,55499,5,2,1,5,10.0,10.0,10.0
28791,78,1445,0,1.0,71004,5,2,1,5,13.0,13.0,13.0
28792,78,1445,0,1.0,60672,5,2,1,5,10.0,10.0,10.0
28793,78,1445,0,1.0,84459,5,2,1,5,16.0,16.0,16.0
28795,78,1445,0,1.0,58475,5,2,1,5,9.0,9.0,9.0
28796,78,1445,0,1.0,60360,5,2,1,5,12.0,12.0,12.0
28797,78,1445,0,1.0,97589,5,2,1,5,18.0,18.0,18.0
28798,78,1445,0,1.0,49560,5,4,1,5,4.0,4.0,4.0
28799,78,879,0,1.0,52125,5,2,1,5,9.0,9.0,9.0
28800,78,879,0,1.0,95300,5,2,1,5,5.0,5.0,5.0
28801,78,879,0,1.0,53108,5,2,1,5,1.0,2.0,2.0
28802,78,879,0,1.0,55329,5,2,1,5,2.0,2.0,2.0
28803,78,879,0,1.0,48777,4,2,1,5,1.0,1.0,1.0
28804,78,879,0,1.0,95300,5,2,1,5,24.0,24.0,24.0
28805,78,879,0,1.0,60137,5,2,1,5,8.0,8.0,8.0
28806,78,879,0,1.0,58475,5,2,1,5,10.0,10.0,10.0
28807,78,879,0,1.0,84459,5,2,1,5,16.0,16.0,16.0
28808,78,879,0,1.0,99421,5,2,1,5,19.0,19.0,19.0
28809,78,879,0,1.0,54354,5,4,1,5,9.0,9.0,9.0
28811,78,879,0,1.0,65319,5,2,1,5,8.0,8.0,8.0
28812,78,879,0,1.0,89266,5,2,1,5,15.0,15.0,15.0
28813,78,879,0,1.0,91326,5,2,1,5,15.0,15.0,15.0
28814,78,879,0,1.0,95300,5,2,1,5,18.0,18.0,18.0
28815,78,879,0,1.0,95300,5,2,1,5,26.0,26.0,26.0
28817,78,879,0,1.0,52125,5,2,1,5,6.0,6.0,6.0
28818,78,879,0,1.0,60360,5,2,1,5,10.0,10.0,10.0
28820,78,879,0,1.0,101252,5,2,1,5,17.0,17.0,17.0
28821,78,879,0,1.0,99421,5,2,1,5,18.0,18.0,18.0
28822,78,879,0,1.0,53108,5,4,1,5,2.0,2.0,2.0
28823,78,862,0,1.0,50132,4,2,1,5,1.0,2.0,2.0
28824,78,862,0,1.0,54368,5,2,1,5,4.0,4.0,4.0
