,district,school,primary_job,fte,salary,certificate,subcategory,teaching_route,highly_qualified,experience_district,experience_nj,experience_total
27,10,1777,2,1.0,102540,5,4,1,0,16.0,16.0,16.0
36,10,1219,2,1.0,69941,5,4,0,0,8.0,8.0,8.0
73,10,1646,2,1.0,100319,5,4,1,0,11.0,11.0,11.0
112,10,67,2,1.0,115768,5,4,1,0,38.0,38.0,38.0
177,10,377,6,1.0,121454,5,2,1,5,19.0,19.0,19.0
188,10,1646,0,1.0,71418,5,2,0,5,10.0,10.0,10.0
259,10,67,1,1.0,71418,5,4,1,5,3.0,3.0,3.0
267,10,377,4,1.0,95680,5,2,1,5,17.0,17.0,17.0
268,10,377,5,1.0,73049,5,2,1,5,2.0,2.0,2.0
269,10,377,4,1.0,122126,5,2,0,5,17.0,17.0,17.0
270,10,377,4,1.0,98774,5,2,1,5,11.0,11.0,11.0
271,10,377,4,1.0,55547,5,2,1,5,6.0,6.0,6.0
272,10,377,4,1.0,102016,5,2,0,5,13.0,13.0,13.0
341,10,1646,0,1.0,79102,5,2,0,5,11.0,11.0,11.0
348,10,1219,0,1.0,52107,5,4,1,5,1.0,1.0,1.0
354,10,1352,0,1.0,58503,5,2,0,5,7.0,7.0,7.0
355,10,1352,0,1.0,55378,5,4,1,5,3.0,3.0,3.0
362,10,1352,4,0.5,65616,5,2,1,5,9.0,9.0,12.0
363,10,1352,0,1.0,99751,5,2,1,5,10.0,10.0,10.0
371,10,1352,0,1.0,70834,5,2,1,5,7.0,7.0,7.0
376,10,1352,0,1.0,54068,5,2,1,5,5.0,5.0,5.0
383,10,1352,0,1.0,68463,5,2,0,5,10.0,10.0,10.0
387,10,1777,0,1.0,56440,5,2,1,5,7.0,7.0,7.0
398,10,1777,4,0.5,106143,5,2,1,5,19.0,19.0,19.0
403,10,1777,0,1.0,43952,0,2,0,5,0.0,0.0,0.0
415,10,1777,0,1.0,49784,0,2,0,5,16.0,16.0,16.0
416,10,1777,0,1.0,67095,5,4,0,5,9.0,9.0,9.0
418,10,1219,0,1.0,63247,5,2,0,5,8.0,8.0,8.0
423,10,1219,0,1.0,73792,5,4,0,5,9.0,9.0,9.0
424,10,1219,4,0.5,82152,5,2,0,5,13.0,13.0,13.0
429,10,1219,0,1.0,60874,5,2,1,5,7.0,7.0,7.0
434,10,1219,0,1.0,61767,5,2,0,5,9.0,9.0,9.0
448,10,1700,0,1.0,65616,5,2,0,5,9.0,9.0,9.0
456,10,1700,0,1.0,71402,5,2,0,5,11.0,11.0,11.0
459,10,1700,0,1.0,60874,5,2,0,5,7.0,7.0,7.0
468,10,1700,0,1.0,56440,5,2,1,5,7.0,7.0,7.0
473,10,1700,4,1.0,98774,5,2,1,5,16.0,16.0,16.0
474,10,260,0,1.0,65616,5,2,0,5,8.0,8.0,8.0
478,10,260,0,1.0,58503,5,2,1,5,6.0,6.0,6.0
491,10,1646,4,1.0,95680,5,2,1,5,13.0,13.0,13.0
500,10,1646,0,1.0,66399,5,2,0,5,10.0,10.0,10.0
510,10,1446,0,1.0,58811,5,4,1,5,7.0,7.0,7.0
527,10,377,6,1.0,122126,5,1,1,2,13.0,13.0,13.0
528,10,377,6,1.0,131079,5,2,1,2,31.0,31.0,31.0
545,0,628,0,1.0,52176,4,2,1,1,5.0,5.0,5.0
583,10,171,0,0.5,18500,0,2,0,5,1.0,1.0,1.0
592,10,171,0,1.0,65506,5,2,0,5,10.0,10.0,10.0
600,10,171,0,1.0,71402,5,2,1,5,11.0,11.0,11.0
605,10,171,4,0.5,85108,5,2,0,5,13.0,13.0,13.0
611,10,387,4,0.5,106012,5,2,1,5,21.0,21.0,21.0
613,10,387,0,1.0,100319,5,2,1,5,13.0,13.0,13.0
621,10,387,0,1.0,95320,5,2,1,5,18.0,18.0,18.0
631,10,387,0,1.0,59088,5,2,0,5,3.0,3.0,3.0
638,10,387,0,1.0,55696,5,4,1,5,3.0,3.0,3.0
639,10,387,0,1.0,18500,1,2,1,5,2.0,2.0,2.0
649,10,1446,0,1.0,56440,5,2,1,5,7.0,7.0,7.0
657,10,1446,0,0.45,18500,0,2,0,5,0.0,0.0,0.0
659,10,1446,0,1.0,43952,0,2,0,5,2.0,2.0,2.0
661,10,1446,0,1.0,93567,5,2,0,5,5.0,5.0,5.0
667,10,1446,0,1.0,60290,5,2,1,5,8.0,8.0,8.0
668,10,1446,4,0.5,101866,5,2,0,5,15.0,15.0,15.0
674,10,1446,4,0.5,98774,5,2,1,5,16.0,16.0,16.0
677,10,1446,0,1.0,57919,5,2,0,5,7.0,7.0,7.0
688,10,1700,4,1.0,89797,5,2,0,3,14.0,14.0,14.0
755,10,1446,0,1.0,54218,5,4,0,3,4.0,4.0,4.0
778,10,67,1,1.0,109584,5,4,1,3,32.0,32.0,32.0
809,10,387,4,1.0,104401,5,2,1,2,21.0,21.0,21.0
836,10,67,1,1.0,94135,5,4,1,2,12.0,12.0,12.0
837,10,67,1,1.0,93567,5,4,0,2,9.0,9.0,9.0
841,10,67,1,1.0,94135,5,4,1,2,15.0,15.0,15.0
842,10,67,1,1.0,98206,5,4,1,2,10.0,10.0,10.0
844,10,67,1,1.0,94135,5,4,1,2,12.0,12.0,12.0
845,10,67,1,1.0,88318,5,4,1,2,14.0,14.0,14.0
853,11,69,2,1.0,95784,5,2,1,0,34.0,34.0,34.0
856,11,70,7,1.0,74580,5,2,1,0,0.0,11.0,11.0
869,134,450,2,1.0,84543,5,2,1,0,11.0,17.0,17.0
922,133,449,2,0.5,67704,5,2,1,0,9.0,9.0,9.0
940,55,169,2,0.5,91733,5,4,1,0,14.0,14.0,14.0
949,55,168,2,0.5,90824,5,4,1,0,19.0,19.0,19.0
957,11,70,2,1.0,76534,5,2,1,0,13.0,13.0,13.0
1051,134,377,1,1.0,54668,4,4,1,5,4.0,4.0,4.0
1053,134,377,1,1.0,52214,4,4,1,5,1.0,1.0,1.0
1060,134,377,1,1.0,57579,5,4,1,5,9.0,9.0,9.0
1062,134,377,1,1.0,55260,0,4,0,5,2.0,2.0,2.0
1073,133,449,0,1.0,50804,5,2,1,5,1.0,1.0,1.0
1080,133,449,0,1.0,50804,5,2,1,5,0.0,0.0,0.0
1084,133,251,0,1.0,61648,5,2,1,5,14.0,14.0,14.0
1085,133,251,0,1.0,60241,5,2,1,5,8.0,9.0,9.0
1086,133,251,0,1.0,50804,4,2,1,5,0.0,0.0,0.0
1094,133,251,0,1.0,53646,5,2,1,5,1.0,1.0,1.0
1098,133,251,0,1.0,71071,5,2,1,5,16.0,16.0,16.0
1107,56,306,0,1.0,65100,5,2,1,5,9.0,9.0,9.0
1127,55,169,0,1.0,57669,1,2,1,5,2.0,2.0,2.0
1134,55,168,0,1.0,57247,5,2,1,5,5.0,5.0,5.0
1138,55,168,0,1.0,92409,5,4,1,5,31.0,31.0,31.0
1140,55,168,0,1.0,95425,5,4,1,5,20.0,20.0,20.0
1141,55,168,0,1.0,96756,5,2,1,5,27.0,27.0,27.0
1142,55,168,0,1.0,89900,5,4,1,5,14.0,14.0,14.0
1171,134,289,2,1.0,65142,5,2,1,0,4.0,12.0,12.0
1199,134,289,0,1.0,57034,5,2,0,5,19.0,19.0,19.0
1201,134,289,1,1.0,55872,5,4,1,5,4.0,4.0,4.0
1205,55,168,0,1.0,86137,5,4,1,1,15.0,15.0,15.0
1214,55,168,0,1.0,96447,5,2,1,1,30.0,30.0,30.0
1244,134,416,1,1.0,81293,5,4,1,5,22.0,22.0,22.0
1248,134,289,1,1.0,52622,5,4,1,5,5.0,5.0,5.0
1250,134,289,0,1.0,57579,5,2,1,5,9.0,9.0,9.0
1252,134,289,1,1.0,53872,5,4,1,5,7.0,7.0,7.0
1253,134,289,0,1.0,62206,5,2,1,5,10.0,10.0,10.0
1259,134,289,1,1.0,61892,5,4,1,5,12.0,12.0,12.0
1262,134,289,1,1.0,59850,5,4,1,5,10.0,10.0,10.0
1265,134,289,1,1.0,58994,5,4,1,5,6.0,6.0,6.0
1268,134,289,1,1.0,62206,5,4,1,5,12.0,13.0,13.0
1270,134,289,0,1.0,57850,5,2,1,5,8.0,8.0,8.0
1281,134,289,1,1.0,52928,5,4,1,5,2.0,5.0,5.0
1287,134,450,1,1.0,52928,5,4,1,5,8.0,10.0,10.0
1305,134,450,1,1.0,68142,5,4,1,5,9.0,12.0,12.0
1356,134,450,1,1.0,68142,5,4,1,5,13.0,13.0,13.0
1369,55,168,0,1.0,89900,5,2,1,3,18.0,18.0,18.0
1373,56,819,0,1.0,65100,5,2,1,3,8.0,8.0,8.0
1374,56,397,2,1.0,84964,5,2,1,3,15.0,15.0,15.0
1392,56,397,0,1.0,80804,5,2,1,3,9.0,12.0,12.0
1393,56,397,0,1.0,76644,5,2,1,3,12.0,12.0,12.0
1396,56,397,0,1.0,84964,5,2,1,3,16.0,16.0,19.0
1397,56,397,0,1.0,84964,5,2,1,3,15.0,15.0,15.0
1399,56,397,0,1.0,84964,5,2,1,3,16.0,17.0,17.0
1400,56,397,0,1.0,84964,5,2,1,3,19.0,19.0,19.0
1405,56,819,0,1.0,88232,5,2,1,3,15.0,15.0,15.0
1439,55,168,0,1.0,98412,5,2,1,3,29.0,29.0,29.0
1441,55,168,0,1.0,93828,5,2,1,3,21.0,21.0,21.0
1442,55,168,0,1.0,97076,5,2,1,3,26.0,26.0,26.0
1498,134,289,1,1.0,72618,5,4,1,1,12.0,15.0,15.0
1500,134,450,1,1.0,65142,5,4,1,1,8.0,11.0,11.0
1540,55,168,0,1.0,93068,5,2,1,4,30.0,30.0,30.0
1546,56,819,0,1.0,55096,5,2,1,4,5.0,5.0,5.0
1547,56,819,0,1.0,81696,5,2,1,4,15.0,17.0,17.0
1548,56,819,0,1.0,81696,5,2,1,4,15.0,17.0,17.0
1551,56,306,0,1.0,62596,5,2,1,4,9.0,9.0,9.0
1552,56,306,0,1.0,59596,5,2,1,4,8.0,8.0,8.0
1554,56,306,0,1.0,81696,5,2,1,4,17.0,17.0,23.0
1555,56,306,0,1.0,83346,5,2,1,4,31.0,31.0,31.0
1593,55,168,0,1.0,72831,5,4,0,4,8.0,8.0,8.0
1595,55,168,0,1.0,97438,5,2,1,4,28.0,28.0,28.0
1598,55,168,0,1.0,91155,5,2,1,4,25.0,25.0,25.0
1600,55,168,0,1.0,71857,5,2,1,4,14.0,14.0,14.0
1601,55,168,0,1.0,92409,5,2,1,4,30.0,30.0,30.0
1603,55,168,0,1.0,89900,5,2,1,4,21.0,21.0,21.0
1605,55,168,0,1.0,49500,1,4,1,4,0.0,0.0,0.0
1651,134,416,1,1.0,57579,5,4,1,3,9.0,10.0,10.0
1701,56,397,0,1.0,83021,5,2,1,4,26.0,32.0,32.0
1741,171,1612,2,1.0,85433,5,2,1,0,12.0,12.0,12.0
1750,171,1487,2,1.0,86383,5,2,1,0,29.0,29.0,29.0
1777,158,513,2,1.0,52793,5,2,1,0,4.0,4.0,4.0
1781,171,60,2,1.0,84408,5,2,1,0,11.0,11.0,11.0
1820,134,630,2,1.0,56178,5,4,1,0,0.0,4.0,4.0
1860,56,397,0,1.0,81696,5,2,1,4,6.0,15.0,15.0
1862,56,397,0,1.0,53896,5,2,1,4,3.0,3.0,3.0
1863,56,397,0,1.0,53796,5,2,1,4,2.0,2.0,2.0
1864,56,397,0,1.0,53796,5,2,1,4,1.0,1.0,1.0
1865,56,819,0,1.0,56496,5,4,1,4,3.0,3.0,3.0
1866,56,819,0,1.0,55096,5,2,1,4,5.0,5.0,5.0
1868,56,819,0,1.0,57626,5,2,1,4,5.0,5.0,5.0
1869,56,819,0,1.0,53896,4,2,1,4,4.0,4.0,4.0
1871,134,25,1,0.5,53260,1,4,1,5,2.0,2.0,2.0
1878,134,504,1,1.0,68953,5,4,1,5,8.0,13.0,13.0
1889,134,630,1,1.0,55784,5,4,1,5,7.0,7.0,7.0
1894,134,630,1,1.0,83543,5,4,1,5,16.0,16.0,16.0
1902,134,399,1,0.5,83543,5,4,1,5,16.0,17.0,17.0
1904,134,399,0,1.0,56600,5,2,0,5,8.0,9.0,9.0
1921,134,399,1,0.5,52622,5,4,1,5,5.0,5.0,5.0
1945,134,399,1,1.0,52214,5,4,1,5,2.0,2.0,2.0
1946,134,399,1,1.0,55464,5,4,1,5,2.0,2.0,2.0
1949,134,399,1,1.0,52010,0,4,0,5,0.0,0.0,0.0
1961,134,504,1,1.0,52622,4,4,0,5,4.0,4.0,4.0
1978,134,504,1,1.0,60829,5,4,1,5,3.0,10.0,10.0
1979,134,25,1,1.0,52928,5,4,1,5,0.0,4.0,4.0
1982,134,25,1,1.0,54668,0,4,0,5,2.0,2.0,2.0
1984,134,25,1,1.0,52214,5,4,1,5,2.0,2.0,2.0
2004,134,25,2,1.0,57178,5,2,1,5,0.0,5.0,5.0
2009,134,25,2,1.0,90043,5,2,1,5,7.0,24.0,24.0
2024,134,25,1,1.0,56178,5,4,1,5,0.0,4.0,4.0
2025,134,25,1,1.0,52928,5,4,1,5,2.0,5.0,5.0
2034,134,416,1,1.0,68953,5,4,1,5,9.0,14.0,14.0
2042,158,513,0,1.0,52363,5,2,1,5,6.0,6.0,6.0
2056,171,1436,1,1.0,52988,5,4,1,5,6.0,6.0,6.0
2069,171,1436,1,1.0,49084,4,4,1,5,1.0,1.0,1.0
2071,171,1436,1,1.0,69158,5,4,1,5,5.0,14.0,14.0
2077,171,1384,1,1.0,69793,5,4,1,5,12.0,12.0,12.0
2097,171,562,2,1.0,83534,5,2,1,5,20.0,20.0,20.0
2103,171,562,1,0.74,51338,1,4,1,5,1.0,1.0,1.0
2130,171,60,1,1.0,81085,5,4,1,5,15.0,15.0,15.0
2138,171,60,1,1.0,35212,1,4,1,5,1.0,1.0,1.0
2174,158,513,0,1.0,50043,5,2,1,5,3.0,3.0,3.0
2180,158,513,0,1.0,52793,5,2,1,5,3.0,3.0,3.0
2181,158,513,0,1.0,51204,5,2,1,5,4.0,4.0,4.0
2189,158,513,0,1.0,51393,5,2,1,5,3.0,3.0,3.0
2191,158,513,0,1.0,47743,4,2,1,5,0.0,0.0,0.0
2206,134,630,1,1.0,55872,5,4,1,5,4.0,4.0,4.0
2208,134,630,1,1.0,52622,5,4,1,5,13.0,13.0,13.0
2213,171,1487,1,1.0,67804,5,4,1,5,3.0,13.0,13.0
2226,134,416,1,1.0,75868,5,4,1,1,7.0,19.0,19.0
2229,134,416,1,1.0,86543,5,4,1,1,27.0,27.0,27.0
2238,171,1612,1,1.0,85284,5,4,1,5,11.0,11.0,11.0
2240,171,1612,1,1.0,47934,1,4,1,5,0.0,0.0,0.0
2243,171,1612,1,1.0,56238,5,4,1,5,6.0,6.0,6.0
2264,134,416,1,1.0,58956,5,4,1,1,9.0,10.0,10.0
2293,171,1612,1,0.74,35471,5,4,1,5,1.0,1.0,1.0
2309,171,1487,1,1.0,61382,5,4,1,5,11.0,11.0,11.0
2331,171,1487,1,1.0,83810,5,4,1,5,14.0,14.0,14.0
2335,171,1487,1,1.0,79910,5,4,1,5,17.0,17.0,17.0
2341,171,1487,1,1.0,48134,1,4,1,5,2.0,2.0,2.0
2344,171,1487,1,1.0,79910,5,4,1,5,16.0,16.0,16.0
2347,171,1487,1,1.0,83434,5,4,1,5,16.0,16.0,16.0
2358,171,1436,7,1.0,68023,1,2,1,5,5.0,5.0,5.0
2361,171,1436,1,1.0,82959,5,4,1,5,40.0,40.0,40.0
2369,171,1436,1,1.0,79710,5,4,1,5,12.0,12.0,12.0
2371,171,1436,2,1.0,70073,0,2,1,5,10.0,10.0,10.0
2383,134,504,1,1.0,84543,5,4,1,1,12.0,19.0,19.0
2393,134,504,1,1.0,65142,5,4,1,2,10.0,11.0,11.0
2395,134,504,1,1.0,65142,5,4,1,3,9.0,12.0,12.0
2421,134,399,1,1.0,55872,4,4,0,2,7.0,7.0,7.0
2425,134,504,1,1.0,53260,4,4,1,2,4.0,4.0,4.0
2430,171,1612,1,1.0,86758,5,4,1,1,24.0,24.0,24.0
2432,171,1612,1,1.0,84708,5,4,1,1,22.0,22.0,22.0
2436,171,1487,1,1.0,82660,5,4,1,1,32.0,32.0,32.0
2483,134,630,1,1.0,88793,5,4,1,1,26.0,26.0,26.0
2491,134,630,1,1.0,81293,5,4,1,1,19.0,19.0,19.0
2493,134,399,1,1.0,81293,5,4,1,1,19.0,19.0,19.0
2495,134,399,1,0.5,84793,5,4,1,1,25.0,25.0,25.0
2499,134,399,1,0.5,85543,5,4,1,1,19.0,20.0,20.0
2502,134,399,1,1.0,81293,5,4,1,1,14.0,17.0,17.0
2504,134,399,1,0.5,55872,5,4,1,1,9.0,9.0,9.0
2513,134,504,1,1.0,83543,5,4,1,1,14.0,20.0,20.0
2516,134,504,1,1.0,81293,5,4,1,1,16.0,19.0,19.0
2517,134,504,1,1.0,81293,5,4,1,1,19.0,19.0,19.0
2522,134,504,1,1.0,61892,5,4,1,1,11.0,11.0,11.0
2531,134,504,1,1.0,86043,5,4,1,1,16.0,21.0,21.0
2536,134,25,1,1.0,84543,5,4,1,1,18.0,18.0,18.0
2538,134,25,1,1.0,81293,5,4,1,1,15.0,18.0,18.0
2547,134,25,1,1.0,86543,5,4,1,1,37.0,37.0,37.0
2616,197,1902,2,1.0,73494,5,2,1,0,17.0,17.0,17.0
2646,184,1278,2,1.0,86825,5,2,1,0,6.0,18.0,18.0
2675,184,11,2,1.0,60010,5,2,1,0,12.0,12.0,12.0
2692,134,399,2,1.0,56178,2,4,1,4,0.0,4.0,4.0
2703,158,513,0,1.0,52793,5,4,1,3,3.0,3.0,3.0
2713,147,481,2,0.05,15200,5,4,0,3,0.0,0.0,0.0
2716,134,630,1,1.0,89793,5,4,1,3,29.0,34.0,34.0
2736,197,576,1,1.0,53479,5,4,1,5,5.0,5.0,5.0
2867,198,1823,2,1.0,68316,5,2,1,0,11.0,11.0,11.0
2882,198,649,2,1.0,87578,5,2,1,0,18.0,18.0,18.0
2896,197,576,1,1.0,62609,5,4,1,5,14.0,14.0,14.0
2908,197,1902,1,1.0,50050,5,4,1,5,0.0,0.0,0.0
2967,197,849,1,1.0,51636,5,4,0,5,4.0,4.0,4.0
2975,197,849,1,1.0,50800,5,4,1,5,4.0,4.0,4.0
2976,197,849,2,1.0,52096,5,2,0,5,5.0,5.0,5.0
2984,197,849,1,1.0,50050,4,4,1,5,1.0,1.0,1.0
3009,197,576,1,1.0,50050,5,4,1,5,2.0,2.0,2.0
3030,197,576,1,1.0,54607,5,4,1,5,5.0,5.0,5.0
3043,197,576,1,1.0,110332,5,4,1,5,7.0,7.0,7.0
3047,197,576,1,1.0,56887,5,4,1,5,9.0,9.0,9.0
3069,198,1823,0,1.0,52476,1,2,1,5,1.0,1.0,1.0
3109,198,1823,0,1.0,52700,5,2,1,5,14.0,14.0,14.0
3113,198,1823,0,1.0,53000,5,2,1,5,6.0,6.0,6.0
3117,198,1823,0,1.0,53000,5,2,1,5,8.0,8.0,8.0
3119,198,1823,0,1.0,51300,4,2,0,5,0.0,0.0,0.0
3120,198,1823,0,1.0,56237,5,2,1,5,5.0,5.0,5.0
3124,198,1823,0,1.0,52100,5,2,1,5,1.0,1.0,1.0
3127,198,1823,0,1.0,56100,5,2,0,5,8.0,8.0,8.0
3130,198,1823,0,1.0,56979,5,2,1,5,6.0,6.0,6.0
3131,198,1823,0,1.0,52100,5,2,1,5,2.0,2.0,2.0
3133,198,1823,0,1.0,53000,5,4,1,5,14.0,14.0,14.0
3140,198,1823,0,1.0,51300,4,2,1,5,0.0,0.0,0.0
3143,198,1823,0,1.0,63100,5,2,1,5,11.0,11.0,11.0
3145,198,1823,0,1.0,56180,5,2,1,5,10.0,10.0,10.0
3163,198,649,1,1.0,52700,5,4,1,5,4.0,4.0,4.0
3203,198,648,0,0.5,51300,1,2,1,5,0.0,0.0,0.0
3206,198,648,0,1.0,56942,5,2,1,5,8.0,8.0,8.0
3209,198,648,0,1.0,51300,1,2,1,5,0.0,0.0,0.0
3211,198,648,0,1.0,52100,5,2,1,5,5.0,5.0,5.0
3223,198,648,0,1.0,52100,5,2,1,5,2.0,2.0,2.0
3224,198,648,0,1.0,51300,4,2,1,5,1.0,1.0,1.0
3228,197,1902,1,1.0,68464,5,4,1,5,15.0,15.0,15.0
3312,197,576,2,1.0,86538,5,2,1,3,25.0,25.0,25.0
3370,197,1902,1,1.0,82588,5,4,1,2,19.0,19.0,19.0
3410,309,1904,2,1.0,91045,5,4,1,0,20.0,20.0,20.0
3465,358,1196,2,0.5,81985,5,2,1,0,28.0,28.0,28.0
3486,300,1029,2,1.0,92653,5,4,1,0,16.0,25.0,25.0
3505,279,377,2,1.0,56050,5,2,1,0,0.0,8.0,11.0
3525,198,650,2,1.0,87078,5,2,1,0,9.0,25.0,26.0
3534,197,1902,1,1.0,54607,5,4,1,4,8.0,8.0,8.0
3581,358,1196,0,1.0,50835,4,2,1,5,2.0,3.0,3.0
3604,385,1256,0,1.0,46998,5,2,1,5,2.0,2.0,2.0
3613,385,1256,0,1.0,48032,1,2,1,5,2.0,2.0,2.0
3620,358,1195,0,1.0,33965,5,2,1,5,2.0,9.0,9.0
3632,358,1196,0,1.0,50835,5,2,1,5,3.0,6.0,6.0
3633,358,1196,0,1.0,32680,1,2,1,5,4.0,4.0,4.0
3634,358,1196,0,1.0,50835,5,2,1,5,2.0,2.0,2.0
3635,358,1196,0,1.0,57485,5,2,1,5,4.0,14.0,14.0
3636,358,1196,0,1.0,51035,5,2,1,5,2.0,2.0,2.0
3638,358,1196,0,1.0,53435,5,4,1,5,2.0,2.0,2.0
3640,358,1196,0,1.0,76685,5,2,1,5,14.0,18.0,18.0
3641,358,1196,0,1.0,70585,5,2,1,5,6.0,14.0,14.0
3645,358,1196,0,1.0,55035,5,2,1,5,7.0,7.0,7.0
3649,358,1196,0,1.0,50835,1,2,1,5,2.0,2.0,2.0
3664,309,1904,0,1.0,94045,5,2,1,5,22.0,22.0,22.0
3667,309,1904,0,1.0,60500,5,2,1,5,1.0,1.0,1.0
3691,279,1588,0,1.0,58900,5,2,1,5,7.0,7.0,7.0
3696,279,1588,0,1.0,62977,5,2,1,5,9.0,11.0,11.0
3701,279,1588,0,1.0,61057,5,2,1,5,9.0,9.0,9.0
3702,279,1588,0,1.0,64319,5,2,1,5,12.0,15.0,15.0
3740,385,1255,0,1.0,46998,1,2,1,5,2.0,2.0,2.0
3752,431,933,0,1.0,58000,5,2,1,5,7.0,16.0,31.0
3759,431,1243,0,1.0,56001,5,2,0,5,10.0,10.0,10.0
3762,431,1243,0,1.0,52981,5,4,1,5,2.0,2.0,2.0
3767,431,933,0,1.0,51421,5,4,1,5,2.0,2.0,2.0
3778,431,933,0,1.0,56244,5,2,1,5,27.0,27.0,27.0
3779,431,933,4,1.0,82763,5,2,1,5,22.0,22.0,22.0
3782,431,933,0,1.0,71825,5,4,1,5,7.0,16.0,16.0
3789,431,933,4,1.0,60050,5,2,1,5,11.0,11.0,11.0
3792,431,933,0,1.0,52561,5,2,1,5,2.0,7.0,7.0
3799,431,1831,0,1.0,81477,5,4,1,5,2.0,7.0,7.0
3807,431,1831,0,1.0,54749,5,4,1,5,11.0,11.0,11.0
3809,431,1831,0,1.0,52245,5,2,1,5,5.0,6.0,6.0
3812,431,1831,0,1.0,52770,5,1,1,5,2.0,2.0,2.0
3833,431,1379,4,1.0,105738,5,1,1,5,19.0,19.0,19.0
3849,431,1379,0,1.0,52561,5,2,1,5,1.0,1.0,1.0
3882,385,1255,0,1.0,45988,1,2,1,5,2.0,3.0,3.0
3886,385,1255,0,1.0,53494,0,2,1,5,1.0,1.0,1.0
3895,385,1255,0,0.5,25624,5,2,1,5,2.0,2.0,2.0
3942,358,1196,0,0.5,21109,5,2,1,2,0.0,0.0,0.0
3943,358,1196,0,1.0,50835,5,2,1,2,2.0,4.0,4.0
3956,431,933,0,1.0,53481,5,2,0,1,10.0,10.0,10.0
3960,431,933,0,1.0,52451,5,2,0,1,7.0,7.0,7.0
3965,431,1831,0,1.0,82763,5,4,1,1,19.0,22.0,22.0
3970,431,1831,6,1.0,63012,5,2,1,1,13.0,13.0,13.0
3971,431,1831,0,1.0,83602,5,2,1,1,21.0,21.0,21.0
3979,431,1379,2,1.0,53941,5,2,1,1,2.0,3.0,9.0
4055,358,1196,0,1.0,81185,5,2,1,1,15.0,21.0,21.0
4056,358,1196,0,1.0,70585,5,2,1,1,8.0,14.0,14.0
4077,431,1243,0,1.0,84233,5,2,1,5,19.0,19.0,19.0
4188,431,1379,2,1.0,64307,5,2,1,3,14.0,14.0,14.0
4200,385,1255,2,1.0,59394,5,4,1,3,1.0,6.0,6.0
4232,279,1588,0,1.0,66108,5,2,1,3,7.0,15.0,15.0
4251,431,1378,6,1.0,82763,5,2,1,4,21.0,37.0,37.0
4255,490,846,2,1.0,84062,5,2,1,0,16.0,16.0,16.0
4257,4,377,2,1.0,103415,5,2,1,0,17.0,17.0,17.0
4260,28,377,5,1.0,86700,5,4,1,0,32.0,32.0,32.0
4288,28,377,5,1.0,78852,5,4,1,0,25.0,25.0,25.0
4289,28,377,4,1.0,102213,5,4,1,0,26.0,32.0,32.0
4332,28,377,2,1.0,111445,5,2,1,0,32.0,32.0,32.0
4355,550,377,2,1.0,64900,5,2,1,0,0.0,0.0,0.0
4372,28,76,1,1.0,99847,5,4,1,7,29.0,29.0,29.0
4397,431,1378,4,1.0,52039,5,2,1,4,5.0,5.0,5.0
4416,309,1904,1,1.0,59750,5,4,1,4,3.0,3.0,3.0
4418,309,488,1,1.0,69500,5,4,1,4,4.0,12.0,12.0
4432,28,76,2,1.0,101531,5,2,1,0,33.0,33.0,33.0
4433,28,76,6,1.0,95141,5,4,1,0,33.0,33.0,33.0
4438,431,1243,4,1.0,60889,5,2,1,5,12.0,12.0,12.0
4442,28,76,2,1.0,110810,5,2,1,0,19.0,26.0,26.0
4462,28,76,6,1.0,95141,5,4,1,0,40.0,40.0,40.0
4467,28,76,5,1.0,74899,5,4,1,0,13.0,13.0,13.0
4471,28,76,5,1.0,89171,5,4,1,0,21.0,21.0,21.0
4487,28,948,5,1.0,89152,5,4,1,0,17.0,19.0,19.0
4490,28,948,5,1.0,92552,5,4,1,0,28.0,28.0,28.0
4493,28,948,5,1.0,104578,5,4,1,0,37.0,39.0,39.0
4509,28,472,5,1.0,85097,5,4,1,0,13.0,13.0,13.0
4510,28,472,5,1.0,94817,5,4,1,0,26.0,26.0,26.0
4516,28,1197,2,1.0,76331,5,2,1,0,9.0,11.0,11.0
4529,28,1197,2,1.0,95856,5,2,1,0,13.0,13.0,13.0
4548,28,682,2,1.0,102481,5,2,1,0,28.0,33.0,33.0
4549,28,682,5,1.0,94817,5,3,1,0,25.0,28.0,28.0
4566,28,1201,5,1.0,90436,5,4,1,0,31.0,32.0,32.0
4594,431,357,4,1.0,56429,5,2,0,5,6.0,6.0,6.0
4674,490,354,0,1.0,48709,5,2,1,5,3.0,3.0,3.0
4700,437,1389,0,1.0,53619,5,2,1,5,0.0,0.0,0.0
4702,437,1389,0,0.78,41817,1,2,1,5,0.0,0.0,0.0
4708,431,357,4,1.0,53908,5,2,1,5,8.0,8.0,8.0
4717,431,1627,0,1.0,54993,5,2,1,5,0.0,0.0,0.0
4719,431,1627,0,1.0,53723,5,2,0,5,1.0,4.0,5.0
4720,431,1627,0,1.0,55850,5,2,1,5,14.0,14.0,14.0
4724,431,1627,0,1.0,53069,5,2,0,5,9.0,9.0,9.0
4729,431,1627,0,1.0,54320,5,4,1,5,9.0,9.0,9.0
4742,431,1627,0,1.0,81713,5,4,1,5,16.0,16.0,16.0
4745,431,1627,0,1.0,55000,0,2,1,5,1.0,3.0,4.0
4749,431,1243,0,1.0,53835,5,2,1,5,0.0,0.0,1.0
4756,431,1243,0,1.0,53908,5,2,1,5,11.0,11.0,11.0
